rank,grade,domain,unit,concept_id,label_ko,concept_type,confidence,evidence_depth,needs_textbook_evidence,source_ref_count,parent_ids,prerequisite_ids,related_ids,short_definition,notes
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_mis_intersection_count_solution_count,교점의 개수와 해의 개수를 따로 보는 오류,misconception_risk,low,official_dual_source,yes,2,m1_func_eq_relation_unit,,m1_func_intersection_count; m1_func_intersection_solution_count_relation,두 그래프의 교점 개수가 연립일차방정식의 해의 개수와 연결된다는 점을 놓치는 위험.,성취수준의 교점과 해의 관계 설명에서 추론한 오개념 위험이다. 세부 사례별 오류는 교과서 예제 확인 후 분리한다.
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_mis_intersection_solution,그래프의 교점과 연립방정식의 해를 분리해서 보는 오류,misconception_risk,low,official_dual_source,yes,2,m1_func_eq_relation_unit,,m1_func_intersection_point; m1_func_intersection_point_coordinate; m1_system_solution,두 그래프의 교점 좌표가 연립일차방정식의 해와 연결된다는 점을 놓치는 위험.,
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_mis_single_equation_graph_as_system_solution,한 일차방정식의 그래프를 연립일차방정식의 해로 보는 오류,misconception_risk,low,official_dual_source,yes,4,m1_func_eq_relation_unit,,m1_func_two_variable_equation_as_graph; m1_func_two_linear_graphs; m1_system_solution,미지수가 2개인 일차방정식 하나의 그래프 전체와 두 그래프의 교점으로 나타나는 연립일차방정식의 해를 혼동하는 위험.,한 식의 해 전체와 연립된 두 식의 공통 해를 구별해야 하는 관계 단원에서 추론한 오개념 위험이다.
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_eq_relation_unit,일차함수와 일차방정식의 관계,core_concept,high,official_single_source,yes,2,,m1_func_unit; m1_eq_unit,m1_system_unit; m1_coord_graph_unit,일차함수의 그래프와 미지수가 2개인 일차방정식 및 연립일차방정식의 해를 연결하는 단원.,
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_intersection_point_coordinate,교점의 좌표,representation,medium,official_dual_source,yes,5,m1_func_intersection_point,m1_func_intersection_point; m1_coord_coordinate,m1_func_system_solution_from_intersection; m1_system_solution; m1_mis_intersection_solution,두 그래프가 만나는 점의 위치를 순서쌍 또는 좌표로 나타낸 표현.,
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_two_linear_graphs,두 일차함수의 그래프,representation,high,official_dual_source,yes,2,m1_func_eq_relation_unit,m1_func_linear_graph,,연립일차방정식의 관계를 살필 때 함께 놓고 비교하는 두 일차함수 그래프.,
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_two_variable_equation_solution_pair,미지수가 2개인 일차방정식 해의 순서쌍,representation,medium,official_dual_source,yes,4,m1_func_eq_relation_unit,m1_system_two_variable_linear_equation; m1_coord_ordered_pair,m1_system_solution_ordered_pair,미지수가 2개인 일차방정식을 참이 되게 하는 두 값의 짝을 순서쌍으로 나타낸 표현.,해 전체가 그래프가 되는 과정을 분해하기 위해 해 하나의 순서쌍 표현을 별도 노드로 둔다. 교과서 표기 근거 확인 전까지 중간 신뢰도로 둔다.
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_two_variable_equation_solution_set_graph,미지수가 2개인 일차방정식 해 전체의 그래프,representation,medium,official_dual_source,yes,2,m1_func_two_variable_linear_equation_graph,m1_func_two_variable_equation_solution_pair; m1_func_two_variable_linear_equation_graph,m1_func_equation_relation; m1_func_two_variable_equation_as_graph,미지수가 2개인 일차방정식을 만족하는 순서쌍 전체가 이루는 그래프.,공식 문서의 '해를 일차함수의 그래프로 나타내기'를 해 하나와 해 전체의 표현으로 분해했다. 교과서 본문 근거 확인 전까지 중간 신뢰도로 둔다.
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_two_variable_linear_equation_graph,미지수가 2개인 일차방정식의 그래프,representation,high,official_dual_source,yes,2,m1_func_eq_relation_unit,m1_system_two_variable_linear_equation; m1_func_linear_graph; m1_coord_coordinate_plane,m1_func_equation_relation; m1_func_two_variable_equation_solution_set_graph,미지수가 2개인 일차방정식의 해 전체를 좌표평면 위의 직선으로 나타낸 그래프.,
28,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 일차방정식의 관계,m1_func_system_solution_from_intersection,교점으로 연립일차방정식의 해 말하기,procedure,high,official_dual_source,yes,2,m1_func_eq_relation_unit,m1_func_intersection_point_coordinate; m1_system_solution,,두 일차함수 그래프의 교점 좌표를 이용하여 연립일차방정식의 해를 말하는 절차.,
