relative_path,source_url,attachment_id,expected_sha256,license_note,downloaded_at
교과서_원본/2022_중1_미확인_교과서_1단원.pdf,,local_downloads/중학 수학1 1단원 교과서 PDF.pdf,9e9b1805c47308e30ed705c4e774b9f28c8f78c76ce83a39ed424bfd9a779530,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중1 수와 연산(소인수분해·정수와 유리수)],2026-04-10
교과서_원본/2022_중1_미확인_교과서_2단원.pdf,,local_downloads/중학 수학1 2단원 교과서 PDF.pdf,fe7961678bd0b3cef5c5b583ca55ae3994ff2d36e0e422b1768f6392d3c1b229,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중1 문자와 식],2026-04-10
교과서_원본/2022_중1_미확인_교과서_3단원.pdf,,local_downloads/중학 수학1 3단원 교과서 PDF.pdf,f529b787910a470209471b723943ae09d87723d4ba6534324b963a65ba8efeb2,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중1 좌표평면과 그래프],2026-04-10
교과서_원본/2022_중1_미확인_교과서_4단원.pdf,,local_downloads/중학 수학1 4단원 교과서 PDF.pdf,1366bce2f4a625c4c76c891b234d36e1306abeb9e4690a857e64da65e6e05098,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중1 도형의 기초(작도와 합동)],2026-04-10
교과서_원본/2022_중1_미확인_교과서_5단원.pdf,,local_downloads/중학 수학1 5단원 교과서 PDF.pdf,b7a649bacbdd0b14783b5bae1281744eee91284824d14b862a89988526467623,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중1 도형의 성질(평면·입체도형)],2026-04-10
교과서_원본/2022_중2_미확인_교과서_1단원.pdf,,local_downloads/1단원 교과서 PDF.pdf,c64019fa69193f373c4e878810af24124ee8dd571660504616883fa9ace820c0,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중2 유리수와 순환소수],2026-04-10
교과서_원본/2022_중2_미확인_교과서_2단원.pdf,,local_downloads/2단원 교과서 PDF.pdf,c42ac0928361c44c61f5c041a3f668a0ae3b55c3dfc72196b33917c21d862fc9,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중2 식의 계산·일차부등식·연립일차방정식],2026-04-10
교과서_원본/2022_중2_미확인_교과서_3단원.pdf,,local_downloads/3단원 교과서 PDF.pdf,5fd2beededc9056577165bc84c09d9d74030008a85ece291e7c25b5d17a29ff6,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중2 함수(일차함수)],2026-04-10
교과서_원본/2022_중2_미확인_교과서_4단원.pdf,,local_downloads/4단원 교과서 PDF.pdf,1eb3a425143f288cfd9c8dfbb45c0a3519cf179143f848278422229f6db06ff7,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중2 도형의 성질(삼각형·사각형)],2026-04-10
교과서_원본/2022_중2_미확인_교과서_5단원.pdf,,local_downloads/5단원 교과서 PDF.pdf,1343f3f8d57c78c3f9ed01b0d9339a2f0782d8e6184cf2b33dc64ac0902f6331,사용자 로컬 다운로드 원본. 공개 출처 URL 미확인(사용자 확인 필요). 저작권 보호를 위해 산출물에는 개념명·짧은 요약·쪽수·위계 관계만 기록한다. [중2 도형의 닮음과 피타고라스 정리],2026-04-10
