file_name,relative_path,file_size_bytes,sha256,pdf_header_valid,filename_parse_status,curriculum,grade,publisher,book_type,volume,manifest_status,source_url,attachment_id,expected_sha256,intake_status,notes
2022_중1_미확인_교과서_1단원.pdf,교과서_원본/2022_중1_미확인_교과서_1단원.pdf,22193028,9e9b1805c47308e30ed705c4e774b9f28c8f78c76ce83a39ed424bfd9a779530,yes,ok,2022,중1,미확인,교과서,1단원,missing_source_metadata,,local_downloads/중학 수학1 1단원 교과서 PDF.pdf,9e9b1805c47308e30ed705c4e774b9f28c8f78c76ce83a39ed424bfd9a779530,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중1_미확인_교과서_2단원.pdf,교과서_원본/2022_중1_미확인_교과서_2단원.pdf,19063215,fe7961678bd0b3cef5c5b583ca55ae3994ff2d36e0e422b1768f6392d3c1b229,yes,ok,2022,중1,미확인,교과서,2단원,missing_source_metadata,,local_downloads/중학 수학1 2단원 교과서 PDF.pdf,fe7961678bd0b3cef5c5b583ca55ae3994ff2d36e0e422b1768f6392d3c1b229,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중1_미확인_교과서_3단원.pdf,교과서_원본/2022_중1_미확인_교과서_3단원.pdf,22666102,f529b787910a470209471b723943ae09d87723d4ba6534324b963a65ba8efeb2,yes,ok,2022,중1,미확인,교과서,3단원,missing_source_metadata,,local_downloads/중학 수학1 3단원 교과서 PDF.pdf,f529b787910a470209471b723943ae09d87723d4ba6534324b963a65ba8efeb2,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중1_미확인_교과서_4단원.pdf,교과서_원본/2022_중1_미확인_교과서_4단원.pdf,21916832,1366bce2f4a625c4c76c891b234d36e1306abeb9e4690a857e64da65e6e05098,yes,ok,2022,중1,미확인,교과서,4단원,missing_source_metadata,,local_downloads/중학 수학1 4단원 교과서 PDF.pdf,1366bce2f4a625c4c76c891b234d36e1306abeb9e4690a857e64da65e6e05098,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중1_미확인_교과서_5단원.pdf,교과서_원본/2022_중1_미확인_교과서_5단원.pdf,41448767,b7a649bacbdd0b14783b5bae1281744eee91284824d14b862a89988526467623,yes,ok,2022,중1,미확인,교과서,5단원,missing_source_metadata,,local_downloads/중학 수학1 5단원 교과서 PDF.pdf,b7a649bacbdd0b14783b5bae1281744eee91284824d14b862a89988526467623,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중2_미확인_교과서_1단원.pdf,교과서_원본/2022_중2_미확인_교과서_1단원.pdf,23302415,c64019fa69193f373c4e878810af24124ee8dd571660504616883fa9ace820c0,yes,ok,2022,중2,미확인,교과서,1단원,missing_source_metadata,,local_downloads/1단원 교과서 PDF.pdf,c64019fa69193f373c4e878810af24124ee8dd571660504616883fa9ace820c0,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중2_미확인_교과서_2단원.pdf,교과서_원본/2022_중2_미확인_교과서_2단원.pdf,35709616,c42ac0928361c44c61f5c041a3f668a0ae3b55c3dfc72196b33917c21d862fc9,yes,ok,2022,중2,미확인,교과서,2단원,missing_source_metadata,,local_downloads/2단원 교과서 PDF.pdf,c42ac0928361c44c61f5c041a3f668a0ae3b55c3dfc72196b33917c21d862fc9,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중2_미확인_교과서_3단원.pdf,교과서_원본/2022_중2_미확인_교과서_3단원.pdf,41427916,5fd2beededc9056577165bc84c09d9d74030008a85ece291e7c25b5d17a29ff6,yes,ok,2022,중2,미확인,교과서,3단원,missing_source_metadata,,local_downloads/3단원 교과서 PDF.pdf,5fd2beededc9056577165bc84c09d9d74030008a85ece291e7c25b5d17a29ff6,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중2_미확인_교과서_4단원.pdf,교과서_원본/2022_중2_미확인_교과서_4단원.pdf,39083279,1eb3a425143f288cfd9c8dfbb45c0a3519cf179143f848278422229f6db06ff7,yes,ok,2022,중2,미확인,교과서,4단원,missing_source_metadata,,local_downloads/4단원 교과서 PDF.pdf,1eb3a425143f288cfd9c8dfbb45c0a3519cf179143f848278422229f6db06ff7,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
2022_중2_미확인_교과서_5단원.pdf,교과서_원본/2022_중2_미확인_교과서_5단원.pdf,39069669,1343f3f8d57c78c3f9ed01b0d9339a2f0782d8e6184cf2b33dc64ac0902f6331,yes,ok,2022,중2,미확인,교과서,5단원,missing_source_metadata,,local_downloads/5단원 교과서 PDF.pdf,1343f3f8d57c78c3f9ed01b0d9339a2f0782d8e6184cf2b33dc64ac0902f6331,needs_manifest_metadata,"Manifest source URL, attachment id, and expected hash must be recorded before extraction."
