packet_rank,grade,domain,unit,concept_id,label_ko,concept_type,confidence,evidence_depth,needs_textbook_evidence,source_ref_count,current_source_refs,required_evidence_fields,evidence_focus,extraction_status,toc_ref,learning_objective_ref,definition_ref,summary_ref,example_ref,term_explanation_ref,problem_pattern_ref,textbook_page_refs,extraction_notes
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_mis_absolute_value_positive,절댓값을 항상 양수로만 말하는 오류,misconception_risk,low,official_dual_source,yes,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 정수와 유리수 section; [9수01-04] achievement levels; achievement_level; 정수와 유리수의 대소 관계를 판단하고 수직선 위에서 비교하는 수준을 구분",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_mis_negative_order,음수의 대소를 절댓값 크기로 판단하는 오류,misconception_risk,low,official_dual_source,yes,2,curriculum_math_2022: printed p. 33; [9수01-04]; achievement_standard; 정수와 유리수의 대소 관계를 판단하는 성취기준 | achievement_math_2022: 정수와 유리수 section; [9수01-04] achievement levels; achievement_level; 정수와 유리수의 대소 관계를 판단하고 수직선 위에서 비교하는 수준을 구분,example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_mis_sign_operation,부호와 연산 기호를 혼동하는 오류,misconception_risk,low,official_dual_source,yes,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels; achievement_level; 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",example_ref;problem_pattern_ref;textbook_page_refs;extraction_notes,Confirm from examples or repeated problem patterns.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_opposite_numbers,절댓값이 같고 부호가 다른 두 수,property,low,official_dual_source,yes,3,"curriculum_math_2022: printed p. 33; [9수01-04]; achievement_standard; 정수와 유리수의 대소 관계를 판단하는 성취기준 | curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 정수와 유리수 section; [9수01-04] achievement levels; achievement_level; 정수와 유리수의 대소 관계를 판단하고 수직선 위에서 비교하는 수준을 구분",definition_ref;summary_ref;textbook_page_refs;extraction_notes,Find textbook statement of the property and any summary box.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_subtraction_as_add_opposite,뺄셈을 반대 부호의 덧셈으로 바꾸기,procedure,low,official_dual_source,yes,2,"curriculum_math_2022: printed p. 33; [9수01-05]; achievement_standard; 정수와 유리수의 사칙계산 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels; achievement_level; 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",summary_ref;example_ref;textbook_page_refs;extraction_notes,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_minus_sign,음의 부호,term,medium,official_single_source,yes,1,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_plus_sign,양의 부호,term,medium,official_single_source,yes,1,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_absolute_value,절댓값,term,high,official_dual_source,yes,3,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | curriculum_math_2022: printed p. 33; [9수01-04]; achievement_standard; 정수와 유리수의 대소 관계를 판단하는 성취기준 | achievement_math_2022: 정수와 유리수 section; [9수01-04] achievement levels; achievement_level; 정수와 유리수의 대소 관계를 판단하고 수직선 위에서 비교하는 수준을 구분",term_explanation_ref;definition_ref;textbook_page_refs,Find textbook term explanation or definition.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_addition,덧셈,procedure,medium,official_dual_source,yes,3,"curriculum_math_2022: printed p. 33; [9수01-05]; achievement_standard; 정수와 유리수의 사칙계산 원리를 이해하고 계산하는 성취기준 | achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels; achievement_level; 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분 | achievement_research_report_2022: 연구보고서 p. 212; 정수와 유리수 대소 관계와 사칙계산 성취기준별 성취수준; research_report_achievement_level_context; 정수와 유리수의 대소 관계, 수직선 위 비교, 사칙계산 원리, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산을 다루는 성취수준 맥락",summary_ref;example_ref;textbook_page_refs,Find worked example or summary that shows the procedure.,pending_textbook_pdf,,,,,,,,,
9,중1(교육과정 학년군: 중1-3),수와 연산,정수와 유리수,m1_num_associative_law,결합법칙,property,high,official_dual_source,yes,2,"curriculum_math_2022: printed p. 34; terms and symbols for 수와 연산; term_list; 소수, 합성수, 거듭제곱, 지수, 밑, 소인수, 소인수분해, 서로소, 양수, 음수, 정수, 수직선, 유리수, 절댓값, 교환법칙, 결합법칙, 분배법칙, 역수, 유한소수, 무한소수, 순환소수, 순환마디, 제곱근, 근호, 무리수, 실수, 분모의 유리화 등을 다룸 | achievement_math_2022: 정수와 유리수 section; [9수01-05] achievement levels; achievement_level; 정수와 유리수의 사칙계산 원리 이해, 덧셈·뺄셈·곱셈·나눗셈, 혼합계산 수준을 구분",definition_ref;summary_ref;textbook_page_refs,Find textbook statement of the property and any summary box.,pending_textbook_pdf,,,,,,,,,
