packet_rank,grade,domain,unit,edge_id,edge_scope,source_id,source_label_ko,source_unit,target_id,target_label_ko,target_unit,relationship_type,confidence,source_ref_count,current_source_refs,notes,required_evidence_fields,evidence_focus,extraction_status,structure_ref,prerequisite_ref,representation_ref,procedure_ref,contrast_ref,misconception_ref,problem_pattern_ref,related_ref,textbook_page_refs,extraction_notes
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_function__contains__m1_func_input_value,intra_unit,m1_func_function,함수,일차함수와 그 그래프,m1_func_input_value,입력값,일차함수와 그 그래프,contains,low,2,curriculum_math_2022: printed p. 35; [9수02-14]; achievement_standard; 함수의 개념을 이해하고 함숫값을 구하는 성취기준 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels; achievement_level; 두 양 사이의 관계가 함수인지 판단하고 함숫값을 구하는 수행 수준을 구분,함숫값을 구하는 활동에서 주어진 입력을 별도 미시 용어로 추적한다. 교과서 용어 확인 전 낮은 신뢰도로 둔다.,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_slope__contains__m1_func_slope_ratio_formula,intra_unit,m1_func_slope,기울기,일차함수와 그 그래프,m1_func_slope_ratio_formula,기울기 계산식,일차함수와 그 그래프,contains,low,1,"achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels; achievement_level; 일차함수의 그래프의 성질 이해, 그래프의 식 구하기, 기울기 부호 판단 수준을 구분",기울기를 증가량의 비로 나타내는 식 표현을 미시 표현으로 추적한다. 교과서 본문 확인 전 낮은 신뢰도로 둔다.,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_slope__contains__m1_func_x_increment,intra_unit,m1_func_slope,기울기,일차함수와 그 그래프,m1_func_x_increment,x의 증가량,일차함수와 그 그래프,contains,low,1,"achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels; achievement_level; 일차함수의 그래프의 성질 이해, 그래프의 식 구하기, 기울기 부호 판단 수준을 구분",기울기 계산에서 x값 변화량을 미시 구성 요소로 추적한다. 교과서 본문 확인 전 낮은 신뢰도로 둔다.,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_slope__contains__m1_func_y_increment,intra_unit,m1_func_slope,기울기,일차함수와 그 그래프,m1_func_y_increment,y의 증가량,일차함수와 그 그래프,contains,low,1,"achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels; achievement_level; 일차함수의 그래프의 성질 이해, 그래프의 식 구하기, 기울기 부호 판단 수준을 구분",기울기 계산에서 y값 변화량을 미시 구성 요소로 추적한다. 교과서 본문 확인 전 낮은 신뢰도로 둔다.,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_all_relations_are_functions,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_all_relations_are_functions,모든 두 양의 관계를 함수로 보는 오류,일차함수와 그 그래프,contains,low,3,"curriculum_math_2022: printed p. 35; [9수02-14]; achievement_standard; 함수의 개념을 이해하고 함숫값을 구하는 성취기준 | curriculum_math_2022: printed p. 36; achievement-standard considerations; teaching_note; 함수의 개념은 한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계로 도입하고, 공학 도구로 함수의 그래프와 성질을 탐구하게 함 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels; achievement_level; 두 양 사이의 관계가 함수인지 판단하고 함숫값을 구하는 수행 수준을 구분",,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_function_linear_function,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_function_linear_function,함수와 일차함수 혼동,일차함수와 그 그래프,contains,low,4,"curriculum_math_2022: printed p. 35; [9수02-14]; achievement_standard; 함수의 개념을 이해하고 함숫값을 구하는 성취기준 | curriculum_math_2022: printed p. 35; [9수02-15]; achievement_standard; 일차함수의 개념을 이해하고 그 그래프를 그리는 성취기준 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels; achievement_level; 두 양 사이의 관계가 함수인지 판단하고 함숫값을 구하는 수행 수준을 구분 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels; achievement_level; 일차함수인지 판단하고 기울기, x절편, y절편, 평행이동 등을 이용하여 그래프를 그리는 수행 수준을 구분",,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_function_value_input_output,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_function_value_input_output,함숫값과 입력값 혼동,일차함수와 그 그래프,contains,low,2,curriculum_math_2022: printed p. 35; [9수02-14]; achievement_standard; 함수의 개념을 이해하고 함숫값을 구하는 성취기준 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels; achievement_level; 두 양 사이의 관계가 함수인지 판단하고 함숫값을 구하는 수행 수준을 구분,,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_multiple_outputs_same_input,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_multiple_outputs_same_input,하나의 입력에 여러 출력이 대응하는 경우를 함수로 보는 오류,일차함수와 그 그래프,contains,low,2,"curriculum_math_2022: printed p. 36; achievement-standard considerations; teaching_note; 함수의 개념은 한 양이 변함에 따라 다른 양이 하나씩 정해지는 두 양 사이의 대응 관계로 도입하고, 공학 도구로 함수의 그래프와 성질을 탐구하게 함 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-14] achievement levels; achievement_level; 두 양 사이의 관계가 함수인지 판단하고 함숫값을 구하는 수행 수준을 구분",함수 판단 조건을 다루는 단원 안의 오개념 위험으로 둔다. 교과서 예제·문항 확인 전 낮은 신뢰도로 둔다.,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_slope_intercept,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_slope_intercept,기울기와 절편 혼동,일차함수와 그 그래프,contains,low,2,"curriculum_math_2022: printed p. 36; terms and symbols for 변화와 관계; term_list; 대입, 다항식, 항, 단항식, 상수항, 계수, 차수, 일차식, 동류항, 등식, 방정식, 미지수, 해, 근, 항등식, 이항, 일차방정식, 변수, 좌표, 그래프, 인수, 인수분해, 완전제곱식, 이차방정식, 중근, 근의 공식, 이차함수, 포물선, 축, 꼭짓점, 최댓값, 최솟값 등을 다룸 | achievement_math_2022: 일차함수와 그 그래프 section; [9수02-15] achievement levels; achievement_level; 일차함수인지 판단하고 기울기, x절편, y절편, 평행이동 등을 이용하여 그래프를 그리는 수행 수준을 구분",,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
7,중1(교육과정 학년군: 중1-3),변화와 관계,일차함수와 그 그래프,m1_func_unit__contains__m1_mis_slope_sign,intra_unit,m1_func_unit,일차함수와 그 그래프,일차함수와 그 그래프,m1_mis_slope_sign,기울기 부호와 그래프 방향 혼동,일차함수와 그 그래프,contains,low,1,"achievement_math_2022: 일차함수와 그 그래프 section; [9수02-16] achievement levels; achievement_level; 일차함수의 그래프의 성질 이해, 그래프의 식 구하기, 기울기 부호 판단 수준을 구분",,structure_ref;textbook_page_refs;extraction_notes,Find textbook structure evidence for the containment relation.,pending_textbook_pdf,,,,,,,,,,
